Dataset, Model, Seed, Aug, BestEpoch, TestAcc, TestLoss, ValAcc, ValLoss, Device, Time
IMDB-BINARY, DiffPool, 21314, Subgraph, 36, 0.670000, 0.8265, 0.810000, 0.7834, cpu, 253.51
IMDB-BINARY, DiffPool, 21314, DropEdge, 9, 0.670000, 0.6086, 0.780000, 0.4607, cpu, 564.17
IMDB-BINARY, DiffPool, 21314, DropNode, 118, 0.665000, 3.6940, 0.810000, 2.3029, cpu, 273.60
IMDB-BINARY, DiffPool, 31314, Vanilla, 88, 0.730000, 0.8125, 0.800000, 0.7127, cpu, 486.74
IMDB-BINARY, DiffPool, 31314, G-Mixup, 54, 0.710000, 0.7244, 0.790000, 0.6895, cpu, 551.62
IMDB-BINARY, DiffPool, 31314, Subgraph, 15, 0.705000, 0.6873, 0.810000, 0.7802, cpu, 201.45
IMDB-BINARY, DiffPool, 31314, DropEdge, 214, 0.715000, 2.1511, 0.820000, 1.4296, cpu, 473.32
IMDB-BINARY, DiffPool, 31314, DropNode, 27, 0.730000, 0.8018, 0.840000, 0.6605, cpu, 198.89
IMDB-BINARY, DiffPool, 41314, Vanilla, 23, 0.755000, 0.6065, 0.770000, 1.2742, cpu, 482.14
IMDB-BINARY, DiffPool, 41314, G-Mixup, 98, 0.755000, 0.7978, 0.790000, 0.6285, cpu, 553.73
IMDB-BINARY, DiffPool, 41314, Subgraph, 92, 0.760000, 2.4830, 0.760000, 2.2203, cpu, 181.70
IMDB-BINARY, DiffPool, 41314, DropEdge, 255, 0.725000, 3.8294, 0.750000, 3.0314, cpu, 480.18
IMDB-BINARY, DiffPool, 41314, DropNode, 145, 0.725000, 5.9503, 0.750000, 3.4327, cpu, 192.71
IMDB-BINARY, DiffPool, 51314, Vanilla, 31, 0.715000, 0.6606, 0.880000, 0.3246, cpu, 484.82
IMDB-BINARY, DiffPool, 51314, G-Mixup, 37, 0.705000, 0.5840, 0.830000, 0.3797, cpu, 555.13
IMDB-BINARY, DiffPool, 51314, Subgraph, 16, 0.690000, 0.6140, 0.840000, 0.3964, cpu, 186.47
IMDB-BINARY, DiffPool, 51314, DropEdge, 40, 0.740000, 0.5926, 0.860000, 0.3622, cpu, 476.40
IMDB-BINARY, DiffPool, 51314, DropNode, 24, 0.735000, 0.5881, 0.850000, 0.3605, cpu, 195.37
IMDB-BINARY, DiffPool, 61314, Vanilla, 92, 0.720000, 0.8188, 0.790000, 0.6394, cpu, 457.51
IMDB-BINARY, DiffPool, 61314, G-Mixup, 47, 0.730000, 0.5824, 0.770000, 0.5066, cpu, 644.42
IMDB-BINARY, DiffPool, 61314, Subgraph, 31, 0.680000, 0.9492, 0.730000, 0.6872, cpu, 223.08
IMDB-BINARY, DiffPool, 61314, DropEdge, 74, 0.720000, 0.6941, 0.800000, 0.4930, cpu, 549.21
IMDB-BINARY, DiffPool, 61314, DropNode, 34, 0.725000, 0.5370, 0.790000, 0.4534, cpu, 239.19
IMDB-BINARY, DiffPool, 71314, Vanilla, 10, 0.730000, 0.5001, 0.760000, 0.5459, cpu, 524.19
IMDB-BINARY, DiffPool, 71314, G-Mixup, 44, 0.655000, 0.8789, 0.760000, 0.7334, cpu, 596.82
IMDB-BINARY, DiffPool, 71314, Subgraph, 9, 0.730000, 0.5223, 0.760000, 0.5931, cpu, 233.94
IMDB-BINARY, DiffPool, 71314, DropEdge, 18, 0.740000, 0.5755, 0.760000, 0.5688, cpu, 475.13
IMDB-BINARY, DiffPool, 71314, DropNode, 37, 0.700000, 0.7583, 0.770000, 0.7302, cpu, 194.84
IMDB-BINARY, DiffPool, 0, Vanilla, 26, 0.715000, 0.5983, 0.810000, 0.5331, cpu, 445.60
IMDB-BINARY, DiffPool, 0, G-Mixup, 132, 0.685000, 1.2104, 0.790000, 0.9697, cpu, 520.57
IMDB-BINARY, DiffPool, 0, Subgraph, 39, 0.700000, 0.8677, 0.780000, 0.7342, cpu, 197.03
IMDB-BINARY, DiffPool, 0, DropEdge, 136, 0.725000, 1.7718, 0.780000, 1.7982, cpu, 443.69
IMDB-BINARY, DiffPool, 0, DropNode, 34, 0.685000, 0.6238, 0.780000, 0.4612, cpu, 217.63
IMDB-BINARY, DiffPool, 546464, Vanilla, 52, 0.725000, 0.6467, 0.800000, 0.5944, cpu, 444.25
IMDB-BINARY, DiffPool, 546464, G-Mixup, 42, 0.750000, 0.7584, 0.760000, 0.6162, cpu, 513.77
IMDB-BINARY, DiffPool, 546464, Subgraph, 28, 0.750000, 0.7015, 0.850000, 0.5581, cpu, 220.22
IMDB-BINARY, DiffPool, 546464, DropEdge, 54, 0.755000, 0.6540, 0.800000, 0.6419, cpu, 426.99
IMDB-BINARY, DiffPool, 546464, DropNode, 50, 0.715000, 0.7765, 0.770000, 0.7470, cpu, 217.50
IMDB-BINARY, TopKPool, 1314, Vanilla, 88, 0.690000, 0.5471, 0.700000, 0.7992, cpu, 161.98
IMDB-BINARY, TopKPool, 1314, G-Mixup, 7, 0.700000, 0.5283, 0.720000, 0.5861, cpu, 186.82
IMDB-BINARY, TopKPool, 1314, Subgraph, 36, 0.770000, 2.0428, 0.700000, 2.2903, cpu, 85.16
IMDB-BINARY, TopKPool, 1314, DropEdge, 4, 0.675000, 0.6064, 0.710000, 0.6078, cpu, 120.66
IMDB-BINARY, TopKPool, 1314, DropNode, 5, 0.715000, 0.5807, 0.740000, 0.6207, cpu, 88.90
IMDB-BINARY, TopKPool, 11314, Vanilla, 7, 0.690000, 0.5983, 0.720000, 0.6083, cpu, 263.09
IMDB-BINARY, TopKPool, 11314, G-Mixup, 20, 0.720000, 0.5231, 0.760000, 0.9447, cpu, 284.01
IMDB-BINARY, TopKPool, 11314, Subgraph, 20, 0.675000, 1.0908, 0.770000, 1.4528, cpu, 140.19
IMDB-BINARY, TopKPool, 11314, DropEdge, 130, 0.710000, 10.5051, 0.760000, 23.4990, cpu, 191.59
IMDB-BINARY, TopKPool, 11314, DropNode, 50, 0.730000, 1.5894, 0.750000, 3.0146, cpu, 154.31
IMDB-BINARY, TopKPool, 21314, Vanilla, 262, 0.715000, 1.2507, 0.790000, 0.8367, cpu, 248.06
IMDB-BINARY, TopKPool, 21314, G-Mixup, 36, 0.650000, 0.5910, 0.800000, 0.4366, cpu, 292.73
IMDB-BINARY, TopKPool, 21314, Subgraph, 4, 0.620000, 0.6503, 0.740000, 0.5086, cpu, 120.51
IMDB-BINARY, TopKPool, 21314, DropEdge, 86, 0.675000, 8.7327, 0.780000, 8.0607, cpu, 194.27
IMDB-BINARY, TopKPool, 21314, DropNode, 21, 0.700000, 0.6535, 0.790000, 0.7468, cpu, 146.39
IMDB-BINARY, TopKPool, 31314, Vanilla, 95, 0.685000, 0.7018, 0.810000, 0.4643, cpu, 266.16
IMDB-BINARY, TopKPool, 31314, G-Mixup, 111, 0.730000, 0.6988, 0.790000, 0.9118, cpu, 282.02
IMDB-BINARY, TopKPool, 31314, Subgraph, 13, 0.735000, 0.5164, 0.830000, 0.5824, cpu, 131.28
IMDB-BINARY, TopKPool, 31314, DropEdge, 8, 0.715000, 0.5293, 0.810000, 0.4836, cpu, 183.01
IMDB-BINARY, TopKPool, 31314, DropNode, 18, 0.720000, 0.5455, 0.800000, 0.9323, cpu, 136.79
IMDB-BINARY, TopKPool, 41314, Vanilla, 76, 0.775000, 0.6792, 0.840000, 0.4743, cpu, 228.05
IMDB-BINARY, TopKPool, 41314, G-Mixup, 9, 0.740000, 0.5091, 0.800000, 0.4974, cpu, 256.39
IMDB-BINARY, TopKPool, 41314, Subgraph, 24, 0.755000, 0.5871, 0.760000, 0.5710, cpu, 116.88
IMDB-BINARY, TopKPool, 41314, DropEdge, 2, 0.665000, 0.7412, 0.750000, 0.5726, cpu, 168.28
